geomid,naics,workers
88498649b7fffff,Retail,8
884995000dfffff,Education,45
884995000dfffff,Health,5
884995000dfffff,Hospitality,2
884995000dfffff,Manufacturing,26
884995000dfffff,Other,22
884995000dfffff,Real Estate,8
884995000dfffff,Retail,39
884995000dfffff,Wholesale,28
8849950041fffff,Business Support,1
8849950041fffff,Education,123
8849950041fffff,Health,13
8849950041fffff,Hospitality,9
8849950041fffff,Manufacturing,8
8849950041fffff,Other,23
8849950041fffff,Professional Service,2
8849950041fffff,Public Administration,15
8849950041fffff,Retail,40
8849950041fffff,Wholesale,5
8849950043fffff,Art/Culture,4
8849950043fffff,Health,9
8849950043fffff,Hospitality,5
8849950043fffff,Information,6
8849950043fffff,Manufacturing,10
8849950043fffff,Other,6
8849950043fffff,Public Administration,164
8849950043fffff,Retail,10
8849950045fffff,Art/Culture,4
8849950045fffff,Education,6
8849950045fffff,Health,16
8849950045fffff,Hospitality,16
8849950045fffff,Manufacturing,1
8849950045fffff,Other,8
8849950045fffff,Public Administration,9
8849950045fffff,Retail,52
8849950045fffff,Wholesale,5
8849950047fffff,Art/Culture,24
8849950047fffff,Business Support,7
8849950047fffff,Education,102
8849950047fffff,Energy,21
8849950047fffff,Financial,21
8849950047fffff,Health,64
8849950047fffff,Hospitality,154
8849950047fffff,Manufacturing,71
8849950047fffff,Other,112
8849950047fffff,Professional Service,10
8849950047fffff,Public Administration,444
8849950047fffff,Real Estate,15
8849950047fffff,Retail,355
8849950047fffff,Transportation,9
8849950047fffff,Wholesale,17
8849950051fffff,Art/Culture,4
8849950051fffff,Business Support,3
8849950051fffff,Education,21
8849950051fffff,Hospitality,5
8849950051fffff,Manufacturing,38
8849950051fffff,Other,33
8849950051fffff,Real Estate,42
8849950051fffff,Retail,97
8849950051fffff,Wholesale,2
8849950053fffff,Business Support,2
8849950053fffff,Education,32
8849950053fffff,Health,14
8849950053fffff,Hospitality,32
8849950053fffff,Information,2
8849950053fffff,Manufacturing,29
8849950053fffff,Other,29
8849950053fffff,Professional Service,3
8849950053fffff,Public Administration,5
8849950053fffff,Retail,129
8849950053fffff,Wholesale,11
8849950057fffff,Education,1
8849950057fffff,Manufacturing,10
8849950057fffff,Other,7
8849950057fffff,Retail,61
884995005bfffff,Art/Culture,2
884995005bfffff,Business Support,3
884995005bfffff,Education,11
884995005bfffff,Health,8
884995005bfffff,Hospitality,41
884995005bfffff,Manufacturing,202
884995005bfffff,Other,64
884995005bfffff,Professional Service,2
884995005bfffff,Public Administration,3
884995005bfffff,Real Estate,4
884995005bfffff,Retail,213
884995005bfffff,Wholesale,19
8849950063fffff,Other,3
8849950063fffff,Real Estate,4
8849950063fffff,Retail,30
884995006bfffff,Health,6
884995006bfffff,Hospitality,16
884995006bfffff,Manufacturing,9
884995006bfffff,Other,15
884995006bfffff,Public Administration,25
884995006bfffff,Real Estate,5
884995006bfffff,Retail,38
884995006bfffff,Wholesale,7
8849950097fffff,Art/Culture,2
8849950097fffff,Business Support,5
8849950097fffff,Education,69
8849950097fffff,Health,44
8849950097fffff,Hospitality,182
8849950097fffff,Manufacturing,43
8849950097fffff,Other,43
8849950097fffff,Professional Service,3
8849950097fffff,Retail,121
8849950097fffff,Wholesale,4
8849950099fffff,Art/Culture,5
8849950099fffff,Business Support,6
8849950099fffff,Education,8
8849950099fffff,Health,19
8849950099fffff,Hospitality,35
8849950099fffff,Information,2
8849950099fffff,Manufacturing,17
8849950099fffff,Other,75
8849950099fffff,Public Administration,25
8849950099fffff,Retail,189
8849950099fffff,Wholesale,11
88499500bbfffff,Hospitality,1
88499500bbfffff,Information,18
88499500bbfffff,Other,3
88499500bbfffff,Retail,5
88499500d3fffff,Education,73
88499500d3fffff,Health,4
88499500d3fffff,Hospitality,20
88499500d3fffff,Manufacturing,19
88499500d3fffff,Other,34
88499500d3fffff,Retail,127
88499500d3fffff,Wholesale,6
88499500d7fffff,Business Support,3
88499500d7fffff,Education,1
88499500d7fffff,Hospitality,16
88499500d7fffff,Manufacturing,7
88499500d7fffff,Other,13
88499500d7fffff,Public Administration,2
88499500d7fffff,Retail,67
88499500dbfffff,Business Support,2
88499500dbfffff,Education,27
88499500dbfffff,Health,11
88499500dbfffff,Hospitality,11
88499500dbfffff,Information,4
88499500dbfffff,Manufacturing,10
88499500dbfffff,Other,38
88499500dbfffff,Real Estate,1
88499500dbfffff,Retail,164
88499500dbfffff,Wholesale,5
8849950211fffff,Energy,1
8849950211fffff,Manufacturing,24
8849950211fffff,Public Administration,15
8849950211fffff,Retail,13
8849950213fffff,Art/Culture,4
8849950213fffff,Energy,1
8849950213fffff,Health,86
8849950213fffff,Hospitality,39
8849950213fffff,Manufacturing,72
8849950213fffff,Other,55
8849950213fffff,Public Administration,9
8849950213fffff,Real Estate,4
8849950213fffff,Retail,135
8849950213fffff,Wholesale,14
8849950217fffff,Art/Culture,1
8849950217fffff,Business Support,4
8849950217fffff,Education,107
8849950217fffff,Health,5
8849950217fffff,Hospitality,21
8849950217fffff,Manufacturing,116
8849950217fffff,Other,30
8849950217fffff,Public Administration,36
8849950217fffff,Retail,68
8849950217fffff,Wholesale,5
8849950219fffff,Education,14
8849950219fffff,Health,21
8849950219fffff,Hospitality,12
8849950219fffff,Manufacturing,15
8849950219fffff,Other,21
8849950219fffff,Real Estate,3
8849950219fffff,Retail,82
884995021bfffff,Art/Culture,6
884995021bfffff,Business Support,14
884995021bfffff,Education,486
884995021bfffff,Financial,71
884995021bfffff,Health,104
884995021bfffff,Hospitality,130
884995021bfffff,Information,1
884995021bfffff,Manufacturing,133
884995021bfffff,Other,137
884995021bfffff,Professional Service,21
884995021bfffff,Public Administration,246
884995021bfffff,Real Estate,4
884995021bfffff,Retail,405
884995021bfffff,Transportation,3
884995021bfffff,Wholesale,15
8849950221fffff,Education,34
8849950221fffff,Health,4
8849950221fffff,Hospitality,19
8849950221fffff,Manufacturing,51
8849950221fffff,Other,24
8849950221fffff,Real Estate,1
8849950221fffff,Retail,115
8849950221fffff,Wholesale,27
8849950229fffff,Education,3
8849950229fffff,Hospitality,2
8849950229fffff,Manufacturing,42
8849950229fffff,Other,25
8849950229fffff,Professional Service,26
8849950229fffff,Retail,31
8849950229fffff,Wholesale,7
8849950233fffff,Art/Culture,10
8849950233fffff,Education,121
8849950233fffff,Health,1
8849950233fffff,Hospitality,37
8849950233fffff,Manufacturing,189
8849950233fffff,Other,29
8849950233fffff,Public Administration,30
8849950233fffff,Real Estate,3
8849950233fffff,Retail,105
8849950233fffff,Wholesale,4
8849950243fffff,Business Support,4
8849950243fffff,Education,328
8849950243fffff,Hospitality,19
8849950243fffff,Other,16
8849950243fffff,Professional Service,24
8849950243fffff,Public Administration,307
8849950243fffff,Retail,25
8849950247fffff,Business Support,23
8849950247fffff,Education,18
8849950247fffff,Energy,1
8849950247fffff,Health,16
8849950247fffff,Hospitality,120
8849950247fffff,Manufacturing,12
8849950247fffff,Other,40
8849950247fffff,Professional Service,11
8849950247fffff,Public Administration,2
8849950247fffff,Real Estate,12
8849950247fffff,Retail,117
8849950247fffff,Wholesale,15
8849950249fffff,Art/Culture,6
8849950249fffff,Business Support,3
8849950249fffff,Education,96
8849950249fffff,Health,6
8849950249fffff,Hospitality,16
8849950249fffff,Manufacturing,14
8849950249fffff,Other,16
8849950249fffff,Retail,114
8849950249fffff,Wholesale,1
884995024bfffff,Business Support,4
884995024bfffff,Education,53
884995024bfffff,Health,5
884995024bfffff,Hospitality,31
884995024bfffff,Manufacturing,5
884995024bfffff,Other,30
884995024bfffff,Public Administration,7
884995024bfffff,Real Estate,4
884995024bfffff,Retail,108
884995024bfffff,Wholesale,7
8849950251fffff,Art/Culture,4
8849950251fffff,Education,2
8849950251fffff,Financial,1
8849950251fffff,Health,13
8849950251fffff,Hospitality,110
8849950251fffff,Information,1
8849950251fffff,Manufacturing,148
8849950251fffff,Other,80
8849950251fffff,Professional Service,2
8849950251fffff,Public Administration,41
8849950251fffff,Real Estate,119
8849950251fffff,Retail,180
8849950251fffff,Wholesale,25
8849950253fffff,Art/Culture,4
8849950253fffff,Education,83
8849950253fffff,Energy,1
8849950253fffff,Health,26
8849950253fffff,Hospitality,32
8849950253fffff,Manufacturing,38
8849950253fffff,Other,60
8849950253fffff,Professional Service,4
8849950253fffff,Real Estate,6
8849950253fffff,Retail,154
8849950253fffff,Wholesale,2
8849950255fffff,Art/Culture,2
8849950255fffff,Business Support,3
8849950255fffff,Energy,17
8849950255fffff,Health,7
8849950255fffff,Hospitality,40
8849950255fffff,Manufacturing,43
8849950255fffff,Other,29
8849950255fffff,Real Estate,2
8849950255fffff,Retail,52
8849950255fffff,Transportation,4
8849950255fffff,Wholesale,4
8849950257fffff,Art/Culture,1
8849950257fffff,Education,12
8849950257fffff,Energy,25
8849950257fffff,Health,6
8849950257fffff,Hospitality,48
8849950257fffff,Manufacturing,38
8849950257fffff,Other,58
8849950257fffff,Retail,141
8849950257fffff,Transportation,9
8849950257fffff,Wholesale,8
8849950259fffff,Agriculture,3
8849950259fffff,Art/Culture,15
8849950259fffff,Business Support,101
8849950259fffff,Construction,46
8849950259fffff,Education,355
8849950259fffff,Energy,15
8849950259fffff,Financial,189
8849950259fffff,Health,920
8849950259fffff,Hospitality,838
8849950259fffff,Information,32
8849950259fffff,Manufacturing,368
8849950259fffff,Other,585
8849950259fffff,Professional Service,281
8849950259fffff,Public Administration,375
8849950259fffff,Real Estate,31
8849950259fffff,Retail,1508
8849950259fffff,Transportation,32
8849950259fffff,Wholesale,793
884995025bfffff,Art/Culture,22
884995025bfffff,Business Support,22
884995025bfffff,Education,169
884995025bfffff,Financial,72
884995025bfffff,Health,81
884995025bfffff,Hospitality,330
884995025bfffff,Manufacturing,35
884995025bfffff,Other,183
884995025bfffff,Professional Service,36
884995025bfffff,Public Administration,338
884995025bfffff,Real Estate,2
884995025bfffff,Retail,942
884995025bfffff,Transportation,3
884995025bfffff,Wholesale,37
884995025dfffff,Art/Culture,20
884995025dfffff,Business Support,4
884995025dfffff,Construction,3
884995025dfffff,Education,270
884995025dfffff,Energy,3
884995025dfffff,Financial,41
884995025dfffff,Health,539
884995025dfffff,Hospitality,463
884995025dfffff,Information,43
884995025dfffff,Manufacturing,452
884995025dfffff,Other,189
884995025dfffff,Professional Service,11
884995025dfffff,Public Administration,27
884995025dfffff,Real Estate,44
884995025dfffff,Retail,1224
884995025dfffff,Transportation,98
884995025dfffff,Wholesale,32
8849950265fffff,Hospitality,5
8849950265fffff,Manufacturing,3
8849950265fffff,Other,7
8849950265fffff,Retail,16
8849950265fffff,Wholesale,4
8849950269fffff,Business Support,1
8849950269fffff,Education,135
8849950269fffff,Hospitality,13
8849950269fffff,Public Administration,188
8849950269fffff,Retail,5
8849950291fffff,Art/Culture,4
8849950291fffff,Business Support,4
8849950291fffff,Education,27
8849950291fffff,Health,5
8849950291fffff,Hospitality,43
8849950291fffff,Manufacturing,53
8849950291fffff,Other,61
8849950291fffff,Professional Service,4
8849950291fffff,Public Administration,13
8849950291fffff,Real Estate,1
8849950291fffff,Retail,252
8849950291fffff,Wholesale,17
8849950293fffff,Art/Culture,7
8849950293fffff,Education,39
8849950293fffff,Health,10
8849950293fffff,Hospitality,56
8849950293fffff,Manufacturing,70
8849950293fffff,Other,77
8849950293fffff,Professional Service,6
8849950293fffff,Real Estate,5
8849950293fffff,Retail,327
8849950293fffff,Wholesale,17
8849950295fffff,Education,5
8849950295fffff,Health,2
8849950295fffff,Hospitality,3
8849950295fffff,Manufacturing,11
8849950295fffff,Other,10
8849950295fffff,Real Estate,1
8849950295fffff,Retail,60
8849950297fffff,Art/Culture,1
8849950297fffff,Business Support,10
8849950297fffff,Education,21
8849950297fffff,Energy,7
8849950297fffff,Health,14
8849950297fffff,Hospitality,87
8849950297fffff,Information,13
8849950297fffff,Manufacturing,91
8849950297fffff,Other,140
8849950297fffff,Professional Service,1
8849950297fffff,Public Administration,5
8849950297fffff,Real Estate,4
8849950297fffff,Retail,408
8849950297fffff,Wholesale,33
8849950299fffff,Art/Culture,8
8849950299fffff,Business Support,1
8849950299fffff,Construction,15
8849950299fffff,Education,106
8849950299fffff,Energy,3
8849950299fffff,Financial,34
8849950299fffff,Health,31
8849950299fffff,Hospitality,174
8849950299fffff,Manufacturing,108
8849950299fffff,Other,136
8849950299fffff,Professional Service,21
8849950299fffff,Public Administration,302
8849950299fffff,Real Estate,4
8849950299fffff,Retail,513
8849950299fffff,Transportation,9
8849950299fffff,Wholesale,9
884995029bfffff,Art/Culture,3
884995029bfffff,Business Support,9
884995029bfffff,Education,5
884995029bfffff,Energy,8
884995029bfffff,Health,4
884995029bfffff,Hospitality,16
884995029bfffff,Manufacturing,80
884995029bfffff,Other,42
884995029bfffff,Professional Service,4
884995029bfffff,Public Administration,4
884995029bfffff,Retail,129
884995029bfffff,Transportation,4
884995029bfffff,Wholesale,38
884995029dfffff,Art/Culture,8
884995029dfffff,Business Support,9
884995029dfffff,Education,17
884995029dfffff,Health,9
884995029dfffff,Hospitality,46
884995029dfffff,Information,4
884995029dfffff,Manufacturing,87
884995029dfffff,Other,86
884995029dfffff,Professional Service,5
884995029dfffff,Real Estate,2
884995029dfffff,Retail,272
884995029dfffff,Wholesale,15
88499502a5fffff,Health,2
88499502adfffff,Education,29
88499502adfffff,Manufacturing,24
88499502adfffff,Other,3
88499502adfffff,Retail,32
88499502b3fffff,Business Support,3
88499502b3fffff,Education,114
88499502b3fffff,Health,16
88499502b3fffff,Hospitality,21
88499502b3fffff,Manufacturing,28
88499502b3fffff,Other,25
88499502b3fffff,Professional Service,4
88499502b3fffff,Retail,171
88499502b3fffff,Wholesale,9
88499502c1fffff,Art/Culture,9
88499502c1fffff,Business Support,10
88499502c1fffff,Education,99
88499502c1fffff,Energy,8
88499502c1fffff,Financial,53
88499502c1fffff,Health,92
88499502c1fffff,Hospitality,69
88499502c1fffff,Manufacturing,236
88499502c1fffff,Other,127
88499502c1fffff,Professional Service,9
88499502c1fffff,Public Administration,11
88499502c1fffff,Real Estate,11
88499502c1fffff,Retail,261
88499502c1fffff,Transportation,3
88499502c1fffff,Wholesale,41
88499502c3fffff,Art/Culture,2
88499502c3fffff,Business Support,7
88499502c3fffff,Education,31
88499502c3fffff,Health,10
88499502c3fffff,Hospitality,39
88499502c3fffff,Manufacturing,156
88499502c3fffff,Other,41
88499502c3fffff,Professional Service,5
88499502c3fffff,Public Administration,3
88499502c3fffff,Real Estate,4
88499502c3fffff,Retail,200
88499502c3fffff,Wholesale,14
88499502c5fffff,Education,59
88499502c5fffff,Health,35
88499502c5fffff,Hospitality,10
88499502c5fffff,Manufacturing,35
88499502c5fffff,Other,20
88499502c5fffff,Professional Service,1
88499502c5fffff,Public Administration,2
88499502c5fffff,Retail,55
88499502c5fffff,Wholesale,1
88499502c7fffff,Business Support,2
88499502c7fffff,Health,16
88499502c7fffff,Hospitality,26
88499502c7fffff,Manufacturing,50
88499502c7fffff,Other,23
88499502c7fffff,Real Estate,4
88499502c7fffff,Retail,94
88499502c7fffff,Wholesale,2
88499502c9fffff,Art/Culture,9
88499502c9fffff,Business Support,13
88499502c9fffff,Construction,2
88499502c9fffff,Education,27
88499502c9fffff,Energy,2
88499502c9fffff,Financial,98
88499502c9fffff,Health,25
88499502c9fffff,Hospitality,138
88499502c9fffff,Information,6
88499502c9fffff,Manufacturing,328
88499502c9fffff,Other,140
88499502c9fffff,Professional Service,14
88499502c9fffff,Public Administration,55
88499502c9fffff,Real Estate,16
88499502c9fffff,Retail,1600
88499502c9fffff,Transportation,9
88499502c9fffff,Wholesale,302
88499502cbfffff,Art/Culture,17
88499502cbfffff,Business Support,9
88499502cbfffff,Education,26
88499502cbfffff,Energy,4
88499502cbfffff,Financial,41
88499502cbfffff,Health,51
88499502cbfffff,Hospitality,407
88499502cbfffff,Information,1
88499502cbfffff,Manufacturing,278
88499502cbfffff,Other,337
88499502cbfffff,Professional Service,16
88499502cbfffff,Public Administration,92
88499502cbfffff,Real Estate,1
88499502cbfffff,Retail,4273
88499502cbfffff,Transportation,30
88499502cbfffff,Wholesale,138
88499502cdfffff,Art/Culture,16
88499502cdfffff,Business Support,10
88499502cdfffff,Construction,4
88499502cdfffff,Education,493
88499502cdfffff,Energy,8
88499502cdfffff,Health,67
88499502cdfffff,Hospitality,89
88499502cdfffff,Manufacturing,133
88499502cdfffff,Other,154
88499502cdfffff,Professional Service,17
88499502cdfffff,Public Administration,6
88499502cdfffff,Real Estate,1
88499502cdfffff,Retail,446
88499502cdfffff,Transportation,4
88499502cdfffff,Wholesale,60
88499502d1fffff,Art/Culture,2
88499502d1fffff,Business Support,3
88499502d1fffff,Construction,4
88499502d1fffff,Hospitality,45
88499502d1fffff,Manufacturing,66
88499502d1fffff,Other,7
88499502d1fffff,Retail,44
88499502d1fffff,Wholesale,3
88499502d9fffff,Manufacturing,19
88499502d9fffff,Other,10
88499502d9fffff,Retail,71
88499502ddfffff,Business Support,1
88499502ddfffff,Education,56
88499502ddfffff,Energy,7
88499502ddfffff,Financial,6
88499502ddfffff,Health,6
88499502ddfffff,Hospitality,60
88499502ddfffff,Manufacturing,144
88499502ddfffff,Other,31
88499502ddfffff,Professional Service,8
88499502ddfffff,Public Administration,7
88499502ddfffff,Real Estate,7
88499502ddfffff,Retail,134
88499502ddfffff,Wholesale,8
88499502e5fffff,Health,5
88499502e5fffff,Hospitality,7
88499502e5fffff,Manufacturing,13
88499502e5fffff,Other,2
88499502e5fffff,Retail,10
88499502e5fffff,Wholesale,1
88499502edfffff,Art/Culture,4
88499502edfffff,Business Support,6
88499502edfffff,Education,30
88499502edfffff,Energy,1
88499502edfffff,Financial,3
88499502edfffff,Health,82
88499502edfffff,Hospitality,97
88499502edfffff,Information,11
88499502edfffff,Manufacturing,66
88499502edfffff,Other,46
88499502edfffff,Professional Service,2
88499502edfffff,Public Administration,254
88499502edfffff,Retail,245
88499502edfffff,Wholesale,10
8849950325fffff,Art/Culture,4
8849950325fffff,Business Support,1
8849950325fffff,Education,11
8849950325fffff,Hospitality,25
8849950325fffff,Manufacturing,11
8849950325fffff,Other,9
8849950325fffff,Retail,55
8849950325fffff,Wholesale,1
8849950359fffff,Education,4
8849950359fffff,Energy,2
8849950359fffff,Hospitality,40
8849950359fffff,Manufacturing,31
8849950359fffff,Other,13
8849950359fffff,Real Estate,14
8849950359fffff,Retail,50
884995035bfffff,Art/Culture,3
884995035bfffff,Business Support,4
884995035bfffff,Education,16
884995035bfffff,Health,10
884995035bfffff,Hospitality,18
884995035bfffff,Information,3
884995035bfffff,Manufacturing,21
884995035bfffff,Other,38
884995035bfffff,Professional Service,1
884995035bfffff,Public Administration,55
884995035bfffff,Retail,73
8849950365fffff,Education,24
8849950365fffff,Health,1
8849950365fffff,Hospitality,6
8849950365fffff,Manufacturing,70
8849950365fffff,Other,12
8849950365fffff,Retail,76
884995036bfffff,Education,55
884995036bfffff,Hospitality,3
884995036bfffff,Manufacturing,8
884995036bfffff,Retail,17
884995036dfffff,Art/Culture,1
884995036dfffff,Business Support,5
884995036dfffff,Education,62
884995036dfffff,Health,10
884995036dfffff,Hospitality,79
884995036dfffff,Manufacturing,103
884995036dfffff,Other,49
884995036dfffff,Professional Service,3
884995036dfffff,Public Administration,24
884995036dfffff,Retail,331
884995036dfffff,Transportation,40
884995036dfffff,Wholesale,13
8849950403fffff,Art/Culture,2
8849950403fffff,Education,25
8849950403fffff,Health,14
8849950403fffff,Hospitality,14
8849950403fffff,Manufacturing,14
8849950403fffff,Other,9
8849950403fffff,Retail,60
8849950403fffff,Wholesale,6
8849950409fffff,Art/Culture,5
8849950409fffff,Business Support,8
8849950409fffff,Education,83
8849950409fffff,Health,16
8849950409fffff,Hospitality,88
8849950409fffff,Manufacturing,74
8849950409fffff,Other,103
8849950409fffff,Professional Service,4
8849950409fffff,Public Administration,29
8849950409fffff,Real Estate,2
8849950409fffff,Retail,422
8849950409fffff,Transportation,54
8849950409fffff,Wholesale,5
884995040bfffff,Art/Culture,30
884995040bfffff,Business Support,12
884995040bfffff,Education,210
884995040bfffff,Financial,3
884995040bfffff,Health,113
884995040bfffff,Hospitality,206
884995040bfffff,Information,4
884995040bfffff,Manufacturing,185
884995040bfffff,Other,316
884995040bfffff,Professional Service,26
884995040bfffff,Public Administration,10
884995040bfffff,Real Estate,7
884995040bfffff,Retail,1158
884995040bfffff,Wholesale,27
8849950411fffff,Art/Culture,17
8849950411fffff,Business Support,1
8849950411fffff,Education,1
8849950411fffff,Energy,3
8849950411fffff,Financial,55
8849950411fffff,Health,8
8849950411fffff,Hospitality,273
8849950411fffff,Information,33
8849950411fffff,Manufacturing,12
8849950411fffff,Other,40
8849950411fffff,Professional Service,1
8849950411fffff,Public Administration,14
8849950411fffff,Retail,1351
8849950411fffff,Transportation,4
8849950411fffff,Wholesale,27
8849950415fffff,Art/Culture,1
8849950415fffff,Education,9
8849950415fffff,Hospitality,8
8849950415fffff,Manufacturing,23
8849950415fffff,Other,10
8849950415fffff,Retail,51
8849950415fffff,Transportation,3
8849950415fffff,Wholesale,76
8849950417fffff,Art/Culture,29
8849950417fffff,Business Support,340
8849950417fffff,Education,348
8849950417fffff,Financial,158
8849950417fffff,Health,126
8849950417fffff,Hospitality,363
8849950417fffff,Information,29
8849950417fffff,Manufacturing,107
8849950417fffff,Other,372
8849950417fffff,Professional Service,87
8849950417fffff,Real Estate,25
8849950417fffff,Retail,1687
8849950417fffff,Transportation,42
8849950417fffff,Wholesale,478
8849950419fffff,Art/Culture,23
8849950419fffff,Business Support,1
8849950419fffff,Education,110
8849950419fffff,Energy,2
8849950419fffff,Financial,39
8849950419fffff,Health,64
8849950419fffff,Hospitality,158
8849950419fffff,Information,2
8849950419fffff,Manufacturing,89
8849950419fffff,Other,171
8849950419fffff,Professional Service,36
8849950419fffff,Public Administration,193
8849950419fffff,Real Estate,3
