city,sector,rank_zscore,clean_city_name,country
bay,Agriculture,1.2292725943057186,Bay Area,US
boston,Agriculture,-1.3738928995181554,Boston,US
chicago,Agriculture,-0.7231015260621869,Chicago,US
dc_baltimore,Agriculture,-0.0723101526062184,DC - Baltimore,US
houston,Agriculture,-0.7231015260621869,Houston,US
la,Agriculture,-0.0723101526062184,Los Angeles,US
miami,Agriculture,1.880063967761687,Miami,US
nyc,Agriculture,-0.0723101526062184,NYC,US
phoenix,Agriculture,-0.0723101526062184,Phoenix,US
bay,Art/Culture,1.384587036038126,Bay Area,US
boston,Art/Culture,0.6515703699002948,Boston,US
chicago,Art/Culture,-0.0814462962375365,Chicago,US
dc_baltimore,Art/Culture,-0.0814462962375365,DC - Baltimore,US
houston,Art/Culture,1.384587036038126,Houston,US
la,Art/Culture,-0.8144629623753679,Los Angeles,US
miami,Art/Culture,-0.0814462962375365,Miami,US
nyc,Art/Culture,-1.547479628513199,NYC,US
phoenix,Art/Culture,-0.8144629623753679,Phoenix,US
bay,Business Support,-0.962250448649376,Bay Area,US
boston,Business Support,0.1924500897298756,Boston,US
chicago,Business Support,-0.3849001794597502,Chicago,US
dc_baltimore,Business Support,-0.3849001794597502,DC - Baltimore,US
houston,Business Support,1.3471506281091272,Houston,US
la,Business Support,-0.3849001794597502,Los Angeles,US
miami,Business Support,1.3471506281091272,Miami,US
nyc,Business Support,-1.539600717839002,NYC,US
phoenix,Business Support,0.7698003589195014,Phoenix,US
bay,Construction,0.961280786970634,Bay Area,US
boston,Construction,0.4523674291626514,Boston,US
chicago,Construction,-0.0565459286453311,Chicago,US
dc_baltimore,Construction,-0.5654592864533138,DC - Baltimore,US
houston,Construction,-0.0565459286453311,Houston,US
la,Construction,-2.0921993598772617,Los Angeles,US
miami,Construction,0.961280786970634,Miami,US
nyc,Construction,-0.5654592864533138,NYC,US
phoenix,Construction,0.961280786970634,Phoenix,US
bay,Corporate,0.5039526306789699,Bay Area,US
boston,Corporate,-0.6299407883487119,Boston,US
chicago,Corporate,0.5039526306789699,Chicago,US
dc_baltimore,Corporate,1.6378460497066518,DC - Baltimore,US
houston,Corporate,-0.6299407883487119,Houston,US
la,Corporate,0.5039526306789699,Los Angeles,US
miami,Corporate,-0.6299407883487119,Miami,US
nyc,Corporate,0.5039526306789699,NYC,US
phoenix,Corporate,-1.7638342073763935,Phoenix,US
bay,Education,0.2614881801842455,Bay Area,US
boston,Education,-1.699673171197595,Boston,US
chicago,Education,-0.5229763603684907,Chicago,US
dc_baltimore,Education,0.6537204504606136,DC - Baltimore,US
houston,Education,-0.9152086306448588,Houston,US
la,Education,-0.1307440900921225,Los Angeles,US
miami,Education,0.2614881801842455,Miami,US
nyc,Education,1.8304172612897176,NYC,US
phoenix,Education,0.2614881801842455,Phoenix,US
bay,Energy,0.3925443335529385,Bay Area,US
boston,Energy,0.0713716970096249,Boston,US
chicago,Energy,0.3925443335529385,Chicago,US
dc_baltimore,Energy,-0.2498009395336885,DC - Baltimore,US
houston,Energy,-2.498009395336884,Houston,US
la,Energy,0.3925443335529385,Los Angeles,US
miami,Energy,0.0713716970096249,Miami,US
nyc,Energy,1.0348896066395656,NYC,US
phoenix,Energy,0.3925443335529385,Phoenix,US
bay,Financial,0.8250644606790842,Bay Area,US
boston,Financial,0.8250644606790842,Boston,US
chicago,Financial,-1.2000937609877589,Chicago,US
dc_baltimore,Financial,0.8250644606790842,DC - Baltimore,US
houston,Financial,0.1500117201234699,Houston,US
la,Financial,0.8250644606790842,Los Angeles,US
miami,Financial,-0.5250410204321444,Miami,US
nyc,Financial,-1.875146501543373,NYC,US
phoenix,Financial,0.1500117201234699,Phoenix,US
bay,Health,0.4309732901036361,Bay Area,US
boston,Health,-0.6772437415914283,Boston,US
chicago,Health,-0.1231352257438961,Chicago,US
dc_baltimore,Health,0.4309732901036361,DC - Baltimore,US
houston,Health,-1.7854607732864929,Houston,US
la,Health,0.4309732901036361,Los Angeles,US
miami,Health,0.15391903217987,Miami,US
nyc,Health,1.816244579722467,NYC,US
phoenix,Health,-0.6772437415914283,Phoenix,US
bay,Hospitality,1.0743726442612964,Bay Area,US
boston,Hospitality,0.5654592864533138,Boston,US
chicago,Hospitality,0.5654592864533138,Chicago,US
dc_baltimore,Hospitality,0.0565459286453311,DC - Baltimore,US
houston,Hospitality,1.0743726442612964,Houston,US
la,Hospitality,0.0565459286453311,Los Angeles,US
miami,Hospitality,-1.9791075025865992,Miami,US
nyc,Hospitality,-0.961280786970634,NYC,US
phoenix,Hospitality,-0.4523674291626514,Phoenix,US
bay,Information,-1.249219481659769,Bay Area,US
boston,Information,0.0999375585327815,Boston,US
chicago,Information,0.5496565719302985,Chicago,US
dc_baltimore,Information,-0.7995004682622522,DC - Baltimore,US
houston,Information,1.8988136121228487,Houston,US
la,Information,-1.249219481659769,Los Angeles,US
miami,Information,0.0999375585327815,Miami,US
nyc,Information,0.0999375585327815,NYC,US
phoenix,Information,0.5496565719302985,Phoenix,US
bay,Manufacturing,-1.888327191462788,Bay Area,US
boston,Manufacturing,-0.5640457844629108,Boston,US
chicago,Manufacturing,1.2016627582035926,Chicago,US
dc_baltimore,Manufacturing,-0.1226186487962849,DC - Baltimore,US
houston,Manufacturing,0.5395220547036538,Houston,US
la,Manufacturing,1.2016627582035926,Los Angeles,US
miami,Manufacturing,0.5395220547036538,Miami,US
nyc,Manufacturing,-0.7847593522962236,NYC,US
phoenix,Manufacturing,-0.1226186487962849,Phoenix,US
bay,Professional Service,1.0540925533894598,Bay Area,US
boston,Professional Service,-0.8432740427115677,Boston,US
chicago,Professional Service,-0.8432740427115677,Chicago,US
dc_baltimore,Professional Service,-0.8432740427115677,DC - Baltimore,US
houston,Professional Service,-0.8432740427115677,Houston,US
la,Professional Service,1.0540925533894598,Los Angeles,US
miami,Professional Service,-0.8432740427115677,Miami,US
nyc,Professional Service,1.0540925533894598,NYC,US
phoenix,Professional Service,1.0540925533894598,Phoenix,US
bay,Public Administration,0.0753644558592292,Bay Area,US
