city,naics,mean_eci_zscore,clean_city_name,country
nyc,Financial,1.7607713403701348,NYC,US
nyc,Professional Service,1.6901787996301232,NYC,US
nyc,Corporate,1.623307262020213,NYC,US
nyc,Information,1.6129258588988944,NYC,US
nyc,Art/Culture,1.483567305329993,NYC,US
nyc,Business Support,1.3558880400967477,NYC,US
nyc,Real Estate,1.3355057033950624,NYC,US
chicago,Professional Service,1.2011002153183177,Chicago,US
nyc,Hospitality,1.1479051591159548,NYC,US
chicago,Financial,1.080289238231973,Chicago,US
houston,Professional Service,1.0647774140846673,Houston,US
houston,Corporate,1.0545016953080493,Houston,US
nyc,Manufacturing,0.9865395494612644,NYC,US
chicago,Corporate,0.9582045430882784,Chicago,US
nyc,Wholesale,0.957353078988924,NYC,US
chicago,Real Estate,0.9564924414774924,Chicago,US
nyc,Public Administration,0.9416101307469902,NYC,US
chicago,Information,0.9411415000446888,Chicago,US
dc_baltimore,Professional Service,0.9263576608729448,DC - Baltimore,US
houston,Health,0.8906947931454369,Houston,US
nyc,Education,0.8671393965779945,NYC,US
dc_baltimore,Information,0.8592676633142451,DC - Baltimore,US
houston,Financial,0.8519057780528106,Houston,US
dc_baltimore,Public Administration,0.8507532601559277,DC - Baltimore,US
nyc,Retail,0.8478890281226303,NYC,US
nyc,Agriculture,0.8350491736649193,NYC,US
houston,Education,0.8342845516291472,Houston,US
bay,Information,0.7852978601890583,Bay Area,US
dc_baltimore,Corporate,0.7720261171455884,DC - Baltimore,US
dc_baltimore,Financial,0.7636072184702691,DC - Baltimore,US
houston,Energy,0.755168380368017,Houston,US
bay,Professional Service,0.7503832908028495,Bay Area,US
houston,Real Estate,0.7475914584709571,Houston,US
boston,Professional Service,0.7473977026580007,Boston,US
dc_baltimore,Real Estate,0.7418944444458622,DC - Baltimore,US
chicago,Education,0.7378468607410835,Chicago,US
nyc,Construction,0.7279185030998586,NYC,US
boston,Corporate,0.7231291540388176,Boston,US
houston,Information,0.7144944668128593,Houston,US
chicago,Art/Culture,0.6840371733882785,Chicago,US
boston,Education,0.6793270765878219,Boston,US
boston,Information,0.6759926113010466,Boston,US
